# Source sector: 136 factions defined, 90 hold
# at least one market, 76 dominate at least one system and so colour the map.
# The first two say how heavily modded the save was and how much of that content
# reached the economy; only the third is in the rows below. They are in the file
# name too, so one fixture is told from another without opening it.
#
# Real sector geometry: every star system's hyperspace site, the bloc holding it,
# and that bloc's dominance weight in it. Regenerate with
# scripts/extract-sector-fixture-from-save.py; the save parser is deliberately not part of
# the build, so this file is the fixture's only source and no test opens a save.
#
# The score is the winning faction's summed market size - the dominant term of the
# real DominanceRules weight, not the whole of it. It is here so a test has a
# realistic SPREAD of blocs and strengths to run over, not so a test can assert
# what dominance resolves to; assert that against SystemDominance, never here.
#
# An empty groupKey is an unowned system - uninhabited or decivilised-only - which
# is the frontier case, and 342 of these 491 are one.
#
# The id is the system's name, which the sector does NOT keep unique - a repeat
# carries a #N suffix. The real map keys cells by a unique system id; names are
# used here only so a failure reads as "Askonia" rather than as an opaque handle.
#
# id,x,y,groupKey,score
Lamdor,3650.0,-22480.0,independent,4
Lencali,-30707.0,56789.0,,0
Lethia,41000.0,-27000.0,independent,7
Light of Maya,-18000.0,-26000.0,,0
Limbo,-100200.0,-62900.0,,0
Lost Requiem,5373.8,-51887.5,,0
Macultus,-60444.0,3363.0,,0
Magec,-7200.0,-10700.0,pirates,11
Malachite,-20000.0,8500.0,ORA,9
Mammon,-26046.0,-54482.0,,0
Manchester,32500.0,40000.0,,0
Marajoara,60645.0,32925.0,,0
Martinique,-19150.0,-15700.0,dassault_mikoyan,5
Mayasura,-6000.0,-200.0,tritachyon,8
Mazu,-74936.0,7225.0,,0
Meldrith,89037.0,-10805.0,,0
Meliae,63751.0,-4513.2,,0
Mercy,-35000.0,-28750.0,luddic_church,5
Merga Wraith,55000.0,-35000.0,,0
Mia's Star,-32600.0,2500.0,sotf_dustkeepers,3
Micholia,65569.0,31822.0,,0
Mirage,4000.0,-18000.0,hegemony,7
Mnemosyne,40716.0,-13602.0,,0
Moloch,19600.0,43561.0,,0
Muspelheim,-30000.0,875.0,dpl_phase_lab,21
Mustafar III,-38373.8,-11843.8,,0
Naimur,-58534.0,-32277.0,,0
Naraka,11000.0,-7500.0,hegemony,11
Nastrond,-77266.0,4931.0,,0
Natura,28093.0,-35461.0,,0
Neali,-51148.0,-38771.0,,0
Nemvis,12000.0,5500.0,xlu,17
Neos Bohol,74102.0,27754.0,,0
Nevermore,-50160.0,-46081.0,,0
Nikolaev,-7000.0,-19000.0,dassault_mikoyan,11
Nix,-109800.0,-69100.0,,0
Nornari,-91688.0,40881.0,,0
Nuakea,-52660.0,-50228.0,,0
Obsidian,-33750.0,-33750.0,tritachyon,4
Octavia VIII,-9500.0,13500.0,star_federation,12
Ohai,77004.0,-13450.0,,0
Okeus,59476.0,37676.0,,0
Old Milix,-2942.0,57828.0,,0
Optimal,-19838.6,38813.7,adversary,24
Opuntia,-38750.0,-25000.0,HMI,5
Orerve,-21111.0,51580.0,,0
Osmium,15000.0,-2000.0,MVS,11
Ossa,74000.0,-66000.0,cetevska,4
Ounalashka,-25000.0,-18125.0,independent,3
Outer Terminus,36250.0,-6250.0,diableavionics,12
Palingenesis,-5750.0,-50000.0,red_stripe_vower,6
Paltan,-24300.0,-7100.0,unitedpamed,10
Pandemonium,-21802.0,59032.0,,0
Pantheon,18000.0,-1500.0,EridaniCombine,20
Parasoja,-48248.0,14479.0,,0
Pascal,-20000.0,17600.0,independent,5
Pelenu Laukas,-12500.0,-14500.0,tritachyon,5
Penelope's Star,-9500.0,-14500.0,luddic_path,3
Pengersick,6250.0,9375.0,CFT,13
Perkana,75366.0,-36255.0,,0
Perseus NM 2231+9CB,-26957.9,-56906.2,,0
Phosmon,10625.0,5250.0,xlu,11
Phylum,-35000.0,-12500.0,fang,17
Pleroma,-19875.0,-60000.0,,0
Pollux,50596.0,36463.0,,0
Poros,86000.0,-52000.0,cetudan,10
Postverta,47695.0,55943.0,,0
Prester John,-12500.0,-33750.0,draco,11
Pythagoras,10000.0,12000.0,pirates,4
Qliphoth,-20625.0,-54375.0,sephira_conclave,4
Rama,11500.0,-16000.0,blackrock_driveyards,5
RegnumDei,350.0,-20500.0,red_stripe,19
Resting Place,-10121.3,-68593.0,,0
Revachol,76232.0,31245.0,,0
Rhiannon,-35697.0,48459.0,,0
Rionnagmor,-6875.0,-23750.0,orks,16
Rizdet,-96875.0,48125.0,HIVER,22
Royce,23000.0,-17000.0,vri,21
Rubicon,-28000.0,-4500.0,tahlan_legioinfernalis,17
Sabik,-23108.0,54605.0,,0
Sagitarius Star System,10000.0,20000.0,concordat,22
Saleronos,76521.0,1861.0,,0
Samarra,4800.0,-14250.0,hegemony,16
Saurisan,-59206.0,33372.0,cinis_of_crusaders,3
Scarborough,-20500.0,-5500.0,LLI,15
Segais,27306.6,18571.7,luddic_path,3
Sentinel,-93297.0,24493.0,,0
Serpens,-5800.0,-16000.0,,0
Seychelle,-55056.0,-36197.0,,0
Shenve,-31669.0,32853.0,,0
Sikians,-30094.0,-57249.0,,0
Sitnalta,-8236.9,-3723.1,,0
Skyline,20000.0,5000.0,independent,16
Sol,-45689.9,-32866.8,,0
Sol#2,93750.0,52500.0,,0
Soteria,63000.0,-58500.0,cetora,5
Sothis,90399.0,-37141.0,,0
Spindle,27500.0,-17500.0,,0
Styx,24140.2,-13656.3,,0
Svanticani,18029.0,52464.0,,0
Svaron,-53839.0,-44461.0,,0
Synuefe,33246.0,39594.0,,0
Tabitha,57500.0,62500.0,,0
Taivassija,-11000.0,-19400.0,Goat_Aviation_Bureau,4
Taliesin,47628.0,-56886.0,,0
Tauerni,-67555.0,5437.0,,0
Tered Kathon,38654.0,31791.0,,0
The Luna Sea,68125.0,-52625.0,,0
Thracia,-7200.0,6600.0,interstellarimperium,11
Thrial,-62653.0,7682.0,,0
Thule,-10600.0,-1200.0,persean,7
Tia,6300.0,-1600.0,,0
Tir Peria,43433.0,58810.0,,0
Tyle,-19100.0,-2700.0,persean,11
Uelyst,22000.0,-20000.0,vri,14
Undines,89093.0,-41397.0,,0
Unknown Location,4000.0,2500.0,,0
Unknown Location#2,9000.0,40000.0,,0
Unknown Location (Hiroc),-3300.0,-20937.5,,0
Unknown Site,-51533.4,-8591.5,,0
Upaniklis,62372.0,12564.0,,0
Ursulo,-6800.0,7700.0,syndicate_asp,10
Uvas,-85000.0,51250.0,,0
Valhalla,400.0,-3300.0,hegemony,10
Valis,-10000.0,9000.0,ORA,15
Van Rijn,17785.0,63283.0,,0
Vanadium,12700.0,-800.0,independent,5
Vela,-6275.0,-13800.0,apex_design,20
Velux,-19639.0,35098.0,,0
Vivata,53491.0,-20647.0,,0
Voidbreak,-106250.0,-625.0,,0
Vortex,-7651.0,18321.0,,0
Westernesse,-13900.0,1600.0,persean,10
Wotan,68633.0,-38786.0,,0
Wregoe,25092.0,26854.0,,0
XJ-471A,75200.0,41400.0,,0
Xanthe Che,-85941.0,11076.0,,0
Yabadysh,-89278.0,11215.0,,0
Yajna,-3600.0,-200.0,shadow_industry,9
Yaqum,47283.0,-9109.0,,0
Yma,3300.0,-500.0,Eridani,8
Ynadar Prime,26000.0,-6500.0,ynadar,16
York,28750.0,36250.0,,0
YunTing,32000.0,-12000.0,independent,14
Yutrakhill,0.0,7000.0,northseaindustries,46
Zagan,-3900.0,3200.0,persean,12
Zahrat Diyu,-83626.0,-33682.0,,0
Zarmazd,4250.0,-23000.0,independent,5
Zende,39087.0,57396.0,,0
Zesketet,-93750.0,43750.0,HIVER,36
Zeta Arkoman,47746.0,47585.0,,0
Zeta Giraud,2350.4,-42450.0,,0
Zeta Hydrochaerus,-70279.0,53043.0,,0
Zeta Mok Morred,24768.0,56938.0,,0
Zeta Oryctolagus,53380.0,-39670.0,red_stripe_vower,3
Zeta Prisma,24337.0,-41747.0,,0
Zhulong,89899.0,-24444.0,,0
Zohar,-13937.5,-55312.5,,0
Zorya,11300.0,4600.0,ix_battlegroup,25
Zosia,80322.0,58526.0,,0
gs_arena_system,-14000.0,5000.0,gladiator,7
